도로명,시작IC,종료IC,이정
경부선,경부선시점,구서IC,"[0.0, 0.2]"
경부선,구서IC,영락IC,"[0.2, 2.0]"
경부선,영락IC,부산TG,"[2.0, 4.0]"
경부선,부산TG,노포IC,"[4.0, 5.1]"
경부선,노포IC,노포JC,"[5.1, 5.6]"
경부선,노포JC,양산JC,"[5.6, 12.9]"
경부선,양산JC,양산IC,"[12.9, 17.9]"
경부선,양산IC,통도사 하이패스IC,"[17.9, 31.0]"
경부선,통도사 하이패스IC,통도사IC,"[31.0, 32.0]"
경부선,통도사IC,서울산IC,"[32.0, 38.5]"
경부선,서울산IC,언양JC,"[38.5, 40.1]"
경부선,언양JC,활천IC,"[40.1, 57.2]"
경부선,활천IC,경주IC,"[57.2, 68.3]"
경부선,경주IC,건천IC,"[68.3, 78.7]"
경부선,건천IC,영천JC,"[78.7, 90.8]"
경부선,영천JC,영천IC,"[90.8, 96.4]"
경부선,영천IC,경산IC,"[96.4, 112.8]"
경부선,경산IC,동대구JC,"[112.8, 122.1]"
경부선,동대구JC,도동JC,"[122.1, 126.2]"
경부선,도동JC,북대구IC,"[126.2, 133.9]"
경부선,북대구IC,금호JC,"[133.9, 139.4]"
경부선,금호JC,칠곡물류IC,"[139.4, 150.1]"
경부선,칠곡물류IC,왜관IC,"[150.1, 153.3]"
경부선,왜관IC,남구미IC,"[153.3, 167.2]"
경부선,남구미IC,구미IC,"[167.2, 172.3]"
경부선,구미IC,북구미 하이패스IC,"[172.3, 179.3]"
경부선,북구미 하이패스IC,김천JC,"[179.3, 183.2]"
경부선,김천JC,동김천IC,"[183.2, 192.3]"
경부선,동김천IC,김천IC,"[192.3, 200.3]"
경부선,김천IC,추풍령IC,"[200.3, 212.3]"
경부선,추풍령IC,황간IC,"[212.3, 222.4]"
경부선,황간IC,영동IC,"[222.4, 232.3]"
경부선,영동IC,금강IC,"[232.3, 248.3]"
경부선,금강IC,옥천IC,"[248.3, 259.7]"
경부선,옥천IC,비룡JC,"[259.7, 268.4]"
경부선,비룡JC,대전IC,"[268.4, 272.4]"
경부선,대전IC,회덕JC,"[272.4, 277.9]"
경부선,회덕JC,신탄진IC,"[277.9, 283.0]"
경부선,신탄진IC,남청주IC,"[283.0, 293.0]"
경부선,남청주IC,청주JC,"[293.0, 296.6]"
경부선,청주JC,남이JC,"[296.6, 300.5]"
경부선,남이JC,청주IC,"[300.5, 305.1]"
경부선,청주IC,옥산IC,"[305.1, 308.6]"
경부선,옥산IC,옥산JC,"[308.6, 316.1]"
경부선,옥산JC,목천IC,"[316.1, 329.9]"
경부선,목천IC,천안JC,"[329.9, 333.4]"
경부선,천안JC,천안IC,"[333.4, 340.1]"
경부선,천안IC,북천안IC,"[340.1, 348.5]"
경부선,북천안IC,안성IC,"[348.5, 360.1]"
경부선,안성IC,안성JC,"[360.1, 364.9]"
경부선,안성JC,남사진위IC,"[364.9, 372.9]"
경부선,남사진위IC,오산IC,"[372.9, 378.2]"
경부선,오산IC,동탄JC,"[378.2, 382.1]"
경부선,동탄JC,기흥동탄IC,"[382.1, 386.5]"
경부선,기흥동탄IC,기흥IC,"[386.5, 387.2]"
경부선,기흥IC,수원신갈IC,"[387.2, 392.3]"
경부선,수원신갈IC,신갈JC,"[392.3, 395.0]"
경부선,신갈JC,서울TG,"[395.0, 403.3]"
경부선,서울TG,판교IC,"[403.3, 406.9]"
경부선,판교IC,판교JC,"[406.9, 408.0]"
경부선,판교JC,대왕판교IC,"[408.0, 408.4]"
경부선,대왕판교IC,금토JC,"[408.4, 409.0]"
경부선,금토JC,양재IC,"[409.0, 416.0]"
경부선,양재IC,서초IC,"[416.0, 418.5]"
경부선,서초IC,반포IC,"[418.5, 420.3]"
경부선,반포IC,잠원IC,"[420.3, 421.7]"
경부선,잠원IC,한남IC,"[421.7, 423.0]"
남해선(순천부산),서순천IC,순천IC,"[0.0, 3.8]"
남해선(순천부산),순천IC,순천JC,"[3.8, 5.9]"
